序号,转债名称,转债代码,进展/上市日期,股票名称,股票代码,行业,子行业,转债价格,涨跌,日内套利,股价,涨跌,转债成交额,转债换手率,剩余本息,转股价格,P/B,转股价值,转股溢价率,距离转股日,剩余年限,回售年限,余额/市值,余额/股本,转债余额,股票市值,税前收益率,税后收益率,税前回售收益,税后回售收益,回售价值,纯债价值,期权价值,内在价值,价值溢价,历史波动,隐含波动,预测波动,弹性,信用,折现率,老式双低,新式双低,MA20乖离,热门度,转债名称,
133,永鼎转债!,110058,2019-05-08,永鼎股份,600105,通信互联,通信设备,104.39,0.43%,-1.06%,4.24,-1.62%,5.5,0.5%,114.9,5.10,2.17,83.14,25.6%,转股中,4.84年,2.84年,18.5%,15.4%,9.8,53,2.04%,1.47%,-0.32%,-0.54%,91.28,94.20,11.82,106.02,-1.5%,48%,15%,17%,0.38,AA,4.27%,125.6,31.4,3.7%,53,永鼎转债!,
187,岭南转债!,128044,2018-09-04,岭南股份,002717,城市公用,生态环境,103.098,0.09%,-0.91%,4.54,-2.99%,2.5,0.4%,111.8,5.92,1.52,76.69,34.4%,转股中,4.17年,2.17年,9.5%,7.2%,6.6,70,2.00%,1.47%,0.08%,-0.19%,93.78,94.26,6.86,101.12,2.0%,66%,19%,16%,0.28,AA,4.27%,129.5,35.2,-6.7%,31,岭南转债!,
113,哈尔转债!,128073,2019-09-11,哈尔斯,002615,其他,家居用品,106.6,2.30%,2.21%,5.09,9.94%,137,43.5%,115.7,5.72,2.57,88.99,19.8%,转股中,4.19年,2.19年,14.4%,12.8%,3.0,21,2.00%,1.32%,-1.68%,-1.88%,90.86,93.61,14.75,108.36,-1.6%,38%,19%,17%,0.45,AA-,5.27%,124.2,30.6,8.7%,37,哈尔转债!,
176,山鹰转债,110047,2018-12-10,山鹰纸业,600567,造纸包装,包装用纸,108.4,-0.57%,0.32%,2.94,-0.68%,15,0.6%,118.1,3.34,0.98,88.02,23.1%,转股中,4.44年,2.44年,17.0%,15.0%,23,135,1.99%,1.26%,-1.80%,-2.05%,94.01,100.53,10.95,111.48,-2.8%,31%,15%,17%,0.37,AA+,3.77%,128.8,28.2,-1.1%,40,山鹰转债,
63,开润转债!,123039,2020-01-23,开润股份,300577,服装纺织,纺织行业,109.221,-0.48%,-0.33%,27.99,-1.48%,1.2,0.5%,121.5,33.22,6.70,84.26,29.6%,19天,5.54年,3.54年,3.7%,3.1%,2.2,61,1.99%,1.31%,-1.18%,-1.41%,80.87,83.06,21.89,104.95,4.1%,52%,22%,16%,0.55,A+,7.29%,134.2,51.1,-1.7%,23,开润转债!,
122,华森转债!,128069,2019-07-11,华森制药,002907,医药,化学制药,109.6,0.78%,-0.36%,16.88,0.78%,3.3,1.0%,120.5,18.08,6.66,93.36,17.4%,转股中,5年11天,3年11天,4.4%,4.1%,3.0,68,1.95%,1.23%,-1.65%,-1.88%,87.62,92.23,19.69,111.93,-2.1%,62%,14%,16%,0.54,AA-,5.59%,125.8,33.6,-0.6%,43,华森转债!,
153,苏银转债!,110053,2019-04-03,江苏银行,600919,金融,银行行业,109.03,0.03%,0.15%,5.94,0.68%,127,0.6%,119.1,7.56,0.60,78.57,38.8%,转股中,4.75年,无权,29.2%,22.9%,200,686,1.93%,1.21%,无权,无权,无权,102.66,7.46,110.13,-1.0%,19%,18%,18%,0.27,AAA,3.27%,139.5,36.8,-0.1%,52,苏银转债!,
170,台华转债!,113525,2019-01-11,台华新材,603055,服装纺织,纺织行业,105.8,0.11%,0.74%,7.14,2.00%,9.4,1.7%,114.9,8.11,2.10,88.04,20.2%,转股中,4.51年,2.51年,9.7%,8.5%,5.3,55,1.88%,1.27%,-0.86%,-1.11%,92.55,95.51,13.38,108.89,-2.8%,47%,15%,17%,0.43,AA,4.27%,123.6,28.1,7.2%,21,台华转债!,
108,万里转债!,123032,2019-10-31,万里马,300591,服装纺织,服装纺织,120.8,8.05%,-1.84%,6.89,10.1%,947,455%,132.8,6.92,4.39,99.57,21.3%,转股中,5.33年,3.33年,8.4%,8.3%,1.8,21,1.86%,0.86%,-3.25%,-3.65%,84.87,92.63,31.04,123.67,-2.3%,45%,13%,18%,0.62,A+,7.29%,142.0,49.4,10.0%,44,万里转债!,
142,海环转债!,113532,2019-04-24,海峡环保,603817,城市公用,三废处理,103.75,0.03%,-0.30%,6,-0.83%,0.4,0.1%,112.9,7.75,1.62,77.42,34.0%,转股中,4.80年,2.80年,17.0%,13.2%,4.6,27,1.81%,1.31%,-0.11%,-0.34%,91.43,92.72,9.30,102.02,1.7%,37%,20%,17%,0.32,AA,4.27%,130.1,37.4,-1.4%,30,海环转债!,
17,鲁泰转债,127016,2020-05-13,鲁 泰Ａ,000726,服装纺织,纺织行业,105.01,0.01%,-0.07%,7.66,-0.13%,14,1.0%,116.2,9.01,0.84,85.02,23.5%,4月4天,5.82年,3.82年,21.3%,18.1%,14,66,1.79%,1.28%,-0.32%,-0.50%,88.50,92.40,13.70,106.10,-1.0%,21%,16%,16%,0.43,AA+,4.09%,125.0,32.6,-0.1%,17,鲁泰转债,
136,核能转债!,113026,2019-05-08,中国核电,601985,能源电力,核电,101.06,-0.03%,-0.01%,4.07,-0.25%,23,0.3%,109.8,6.20,1.27,65.65,53.9%,转股中,4.84年,2.84年,12.3%,8.1%,78,634,1.76%,1.37%,0.74%,0.52%,93.85,94.24,2.67,96.91,4.3%,19%,22%,15%,0.14,AAA,3.27%,136.5,42.2,-1.5%,51,核能转债!,
75,孚日转债!,128087,2020-01-16,孚日股份,002083,服装纺织,家纺,103.33,-0.07%,0.78%,5.46,1.49%,12,1.8%,113.3,6.39,1.28,85.45,20.9%,10天,5.51年,3.51年,13.1%,11.2%,6.5,50,1.72%,1.27%,0.12%,-0.08%,88.16,88.92,15.63,104.55,-1.2%,30%,16%,16%,0.48,AA,4.59%,121.2,32.3,7.9%,45,孚日转债!,
66,东风转债,113030,2020-01-20,东风股份,601515,造纸包装,包装材料,107,0.52%,-0.37%,5.9,0.34%,4.0,1.3%,117.3,6.90,1.88,85.51,25.1%,17天,5.53年,3.53年,3.7%,3.2%,3.0,79,1.71%,1.14%,-0.83%,-1.02%,88.08,91.96,14.49,106.45,0.5%,40%,17%,16%,0.44,AA,4.59%,128.5,36.5,0.1%,17,东风转债,
175,华源转债!,128049,2018-12-20,华源控股,002787,造纸包装,包装材料,107.101,-0.07%,-0.23%,6.81,-0.58%,3.3,0.8%,115.2,7.42,1.47,91.78,16.7%,转股中,4.46年,2.46年,18.9%,17.3%,4.0,21,1.68%,1.06%,-1.30%,-1.55%,90.62,92.09,19.08,111.17,-3.7%,64%,14%,18%,0.52,AA-,5.27%,122.4,30.3,-1.2%,61,华源转债!,
22,同德转债,128103,2020-04-21,同德化工,002360,石油天然,化工,111.147,0.72%,-0.99%,4.86,-0.41%,6.2,3.9%,121.8,5.18,1.67,93.82,18.5%,3月28天,5.78年,3.78年,7.6%,7.1%,1.4,19,1.63%,0.97%,-1.51%,-1.74%,79.55,81.84,30.96,112.80,-1.5%,33%,15%,17%,0.66,A+,7.29%,128.5,46.6,-0.3%,9,同德转债,
139,核建转债!,113024,2019-04-26,中国核建,601611,建筑,建筑工程,101.68,0.22%,0.03%,6.36,1.76%,1.3,0.0%,109.7,9.87,1.65,64.44,57.8%,转股中,4.82年,2.82年,17.8%,11.5%,30,169,1.62%,1.23%,0.50%,0.29%,93.81,94.20,2.82,97.02,4.8%,32%,28%,16%,0.14,AAA,3.27%,138.9,44.7,1.6%,43,核建转债!,
96,金力转债!,123033,2019-11-25,金力永磁,300748,电子,元器件制,112.118,-0.60%,-0.53%,35.95,-2.31%,74,15.1%,121.9,41.09,12.24,87.49,28.1%,转股中,5.39年,3.39年,2.9%,2.6%,4.4,149,1.61%,0.90%,-1.75%,-2.03%,87.14,91.70,17.88,109.58,2.3%,75%,20%,16%,0.49,AA-,5.59%,136.7,45.0,-2.5%,27,金力转债!,
51,银河转债!,123042,2020-02-14,金银河,300619,机械装备,专用设备,106.26,0.63%,-0.76%,19.68,-0.25%,8.7,4.9%,115.9,24.46,3.10,80.46,32.1%,37天,5.59年,3.59年,11.4%,9.1%,1.7,15,1.60%,1.08%,-0.52%,-0.73%,80.31,78.94,22.46,101.40,4.8%,49%,25%,18%,0.54,A+,7.29%,132.1,51.8,0.7%,26,银河转债!,
23,龙净转债!,110068,2020-04-15,龙净环保,600388,城市公用,三废处理,105.44,0.28%,-0.32%,8.7,-0.11%,10,0.5%,115,10.93,1.70,79.60,32.5%,3月19天,5.78年,3.78年,21.5%,17.1%,20,93,1.54%,1.06%,-0.47%,-0.64%,88.46,91.58,11.71,103.28,2.1%,30%,20%,17%,0.38,AA+,4.09%,131.3,39.7,-0.3%,27,龙净转债!,
127,文灿转债!,113537,2019-07-05,文灿股份,603348,汽车,零部件制,113.22,0.09%,-1.47%,19.07,-2.51%,12,1.9%,121.5,19.78,1.93,96.41,17.4%,转股中,4.99年,2.99年,12.9%,12.4%,5.7,44,1.46%,0.71%,-2.56%,-2.81%,88.94,94.57,21.90,116.47,-2.8%,56%,12%,17%,0.55,AA-,5.27%,130.0,35.5,4.6%,30,文灿转债!,
243,骆驼转债!,113012,2017-07-18,骆驼股份,601311,汽车,零部件制,103.78,-0.44%,0.44%,9.1,0.00%,0.3,0.1%,107.8,13.29,1.21,68.47,51.6%,转股中,2.78年,0.78年,6.5%,4.4%,5.1,79,1.40%,0.86%,-2.28%,-2.59%,97.78,96.59,2.08,98.67,5.2%,37%,34%,16%,0.07,AA,4.09%,139.1,41.3,0.3%,17,骆驼转债!,
14,滨化转债,113034,2020-04-30,滨化股份,601678,石油天然,化工,106.31,-0.13%,-0.38%,4.3,-0.92%,7.1,0.3%,115.1,4.68,1.06,91.88,15.7%,4月5天,5.82年,3.82年,36.1%,33.2%,24,66,1.40%,0.92%,-0.65%,-0.82%,86.73,89.03,21.01,110.04,-3.4%,46%,14%,17%,0.56,AA,4.59%,120.7,31.7,-2.9%,30,滨化转债,
82,鹰19转债,110063,2020-01-03,山鹰纸业,600567,造纸包装,包装用纸,107.95,-0.68%,0.36%,2.94,-0.68%,14,0.7%,116.2,3.30,0.98,89.09,21.2%,6.1天,5.50年,3.50年,13.8%,12.3%,19,135,1.37%,0.84%,-1.14%,-1.33%,89.50,93.57,15.87,109.44,-1.4%,31%,17%,17%,0.47,AA+,4.09%,126.8,33.2,-1.1%,46,鹰19转债,
88,海亮转债,128081,2019-12-16,海亮股份,002203,有色金属,铜金属,107.198,0.46%,-0.04%,9.11,0.77%,35,1.0%,115.2,9.76,2.02,93.34,14.8%,转股中,5.44年,3.44年,17.7%,16.5%,32,178,1.36%,0.85%,-0.92%,-1.12%,88.34,90.67,20.57,111.23,-3.6%,27%,13%,17%,0.55,AA,4.59%,121.1,30.4,1.5%,54,海亮转债,
159,贵广转债!,110052,2019-03-29,贵广网络,600996,传媒娱乐,影视娱乐,111.41,0.37%,-0.13%,7.43,0.54%,5.8,0.3%,118.5,8.04,1.75,92.41,20.6%,转股中,4.73年,2.73年,19.5%,18.1%,15,78,1.34%,0.65%,-2.43%,-2.68%,93.40,99.85,13.27,113.12,-1.5%,44%,15%,16%,0.43,AA+,3.77%,130.4,30.6,0.2%,16,贵广转债!,
48,奥瑞转债!,128096,2020-03-16,奥瑞金,002701,造纸包装,包装材料,107.8,-0.10%,0.00%,3.95,-0.25%,3.9,0.3%,116,4.70,1.61,84.04,28.3%,2月5天,5.67年,3.67年,11.7%,9.8%,11,93,1.33%,0.82%,-0.86%,-1.07%,89.65,92.90,13.03,105.94,1.8%,27%,20%,16%,0.42,AA+,4.09%,131.6,38.7,-0.2%,25,奥瑞转债!,
46,奥佳转债!,128097,2020-03-18,奥佳华,002614,机械装备,专用设备,107.201,0.38%,-0.07%,9.06,0.67%,5.6,0.4%,115.3,10.69,1.52,84.75,26.5%,2月21天,5.70年,3.70年,23.6%,20.0%,12,51,1.31%,0.82%,-0.84%,-1.03%,87.40,89.70,15.98,105.68,1.4%,43%,20%,17%,0.46,AA,4.59%,129.6,39.9,2.2%,31,奥佳转债!,
157,拓邦转债,128058,2019-04-08,拓邦股份,002139,电子,电子行业,115.5,-0.20%,-0.26%,5.37,-0.92%,28,4.2%,122.6,5.47,2.22,98.17,17.7%,转股中,4.73年,2.73年,10.5%,10.3%,5.7,55,1.30%,0.48%,-3.43%,-3.71%,92.72,101.07,17.29,118.36,-2.4%,48%,13%,16%,0.50,AA,4.27%,132.8,31.8,-0.6%,22,拓邦转债,
126,蓝晓转债!,123027,2019-07-04,蓝晓科技,300487,石油天然,化工,112.326,1.40%,-2.47%,27.39,-1.62%,5.9,2.1%,119.5,29.58,4.34,92.60,21.3%,转股中,4.99年,2.99年,4.4%,4.1%,2.5,57,1.28%,0.59%,-2.31%,-2.57%,84.58,86.03,21.94,107.97,4.0%,52%,20%,17%,0.66,A+,6.97%,132.1,46.0,0.9%,22,蓝晓转债!,
3,康隆转债,113580,2020-05-20,康隆达,603665,服装纺织,服装行业,112.9,0.35%,0.36%,25.6,1.03%,2.6,1.2%,121.2,24.45,2.46,104.70,7.8%,4月18天,5.86年,3.86年,7.8%,8.2%,2.0,26,1.24%,0.61%,-2.01%,-2.20%,83.83,88.69,32.41,121.11,-6.8%,32%,9%,17%,0.68,AA-,5.59%,121.1,32.4,1.8%,9,康隆转债,
147,招路转债!,127012,2019-04-30,招商公路,001965,机场高速,高速,102.235,-0.21%,0.14%,6.71,-0.30%,4.8,0.1%,108.2,9.09,0.87,73.82,38.5%,转股中,4.77年,2.77年,12.1%,8.9%,50,415,1.21%,0.88%,-0.10%,-0.23%,92.79,92.96,5.05,98.02,4.3%,31%,23%,15%,0.24,AAA,3.27%,130.7,37.7,-1.4%,38,招路转债!,
215,江银转债!,128034,2018-02-14,江阴银行,002807,金融,银行行业,104.701,-0.19%,-0.01%,3.85,-0.52%,4.2,0.2%,109.1,4.50,0.72,85.56,22.4%,转股中,3.62年,无权,21.0%,18.0%,18,84,1.16%,0.68%,无权,无权,无权,95.61,9.97,105.57,-0.8%,34%,18%,18%,0.38,AA+,3.77%,123.8,28.2,-5.0%,31,江银转债!,
216,道氏转债!!,123007,2018-01-26,道氏技术,300409,建筑,建筑行业,107,0.08%,-0.44%,11.12,-1.68%,2.1,0.6%,111.3,14.95,2.12,74.38,43.9%,转股中,3.54年,1.54年,5.9%,4.4%,3.0,51,1.14%,0.54%,-2.31%,-2.63%,94.26,93.14,5.75,98.89,8.2%,63%,32%,16%,0.22,AA-,5.27%,139.6,45.4,-4.3%,16,道氏转债!!,
120,荣晟转债!,113541,2019-08-13,荣晟环保,603165,造纸包装,包装用纸,109.17,0.15%,-0.10%,11.55,0.09%,3.0,0.8%,115.5,13.06,1.41,88.44,23.4%,转股中,5年40天,3年40天,11.5%,10.2%,3.3,29,1.13%,0.58%,-1.49%,-1.72%,87.24,88.05,20.17,108.21,0.9%,52%,20%,18%,0.53,AA-,5.59%,129.9,41.9,-4.5%,54,荣晟转债!,
38,正元转债,123043,2020-03-31,正元智慧,300645,计算机及,软件开发,114.266,0.11%,-0.53%,16.29,-0.55%,9.2,4.6%,121.4,15.47,3.45,105.30,8.5%,3月0天,5.73年,3.73年,8.5%,8.9%,1.8,21,1.09%,0.44%,-2.28%,-2.49%,79.77,81.89,39.37,121.27,-5.8%,67%,9%,17%,0.76,A+,7.29%,123.2,41.3,10.9%,16,正元转债,
92,白电转债,113549,2019-12-11,白云电器,603861,能源电力,电力设备,108.68,-0.17%,-0.09%,8.26,-0.48%,4.3,0.5%,115.1,8.99,1.58,91.88,18.3%,转股中,5.42年,3.42年,23.6%,21.7%,8.8,37,1.08%,0.58%,-1.34%,-1.53%,88.32,90.64,18.72,109.36,-0.6%,41%,16%,16%,0.54,AA,4.59%,125.5,34.8,0.7%,37,白电转债,
9,维尔转债,123049,2020-05-12,维尔利,300190,城市公用,三废处理,117.9,1.89%,-0.10%,7.72,2.80%,23,2.1%,124.8,7.48,1.53,103.21,14.2%,4月8天,5.83年,3.83年,15.2%,15.6%,9.2,61,1.00%,0.29%,-2.95%,-3.17%,84.46,91.52,29.95,121.46,-2.9%,52%,14%,17%,0.64,AA-,5.59%,132.6,41.1,9.3%,10,维尔转债,
214,无锡转债!,110043,2018-03-14,无锡银行,600908,金融,银行行业,105.36,0.03%,0.05%,4.87,0.21%,39,1.2%,109.1,5.79,0.78,84.11,25.3%,转股中,3.63年,无权,33.3%,28.0%,30,90,0.98%,0.50%,无权,无权,无权,95.57,9.33,104.90,0.4%,30%,20%,18%,0.36,AA+,3.77%,126.6,31.0,-3.1%,37,无锡转债!,
117,合兴转债!,128071,2019-09-16,合兴包装,002228,造纸包装,包装材料,109.81,1.30%,1.95%,3.96,6.17%,18,2.8%,115.1,4.28,1.55,92.52,18.7%,转股中,5.18年,3.18年,12.9%,11.9%,6.0,46,0.93%,0.40%,-1.74%,-1.95%,89.31,91.66,19.88,111.54,-1.6%,37%,20%,18%,0.53,AA,4.59%,127.1,35.4,2.6%,30,合兴转债!,
35,百达转债,113570,2020-04-08,百达精工,603331,机械装备,机械装备,109.41,0.10%,-0.69%,16.17,-0.80%,1.9,0.6%,115.3,16.39,2.69,98.66,10.9%,3月6天,5.74年,3.74年,13.5%,13.4%,2.8,21,0.93%,0.45%,-1.35%,-1.53%,79.05,77.60,35.98,113.58,-3.7%,38%,12%,17%,0.74,A+,7.29%,120.2,41.1,-0.2%,30,百达转债,
208,敖东转债!,127006,2018-05-11,吉林敖东,000623,金融,证券行业,104.385,-0.02%,-0.07%,15.35,-0.39%,2.5,0.1%,108,20.62,0.81,74.44,40.2%,转股中,3.75年,1.75年,13.5%,10.0%,24,179,0.92%,0.52%,-1.37%,-1.54%,94.74,94.17,4.62,98.79,5.7%,31%,28%,16%,0.21,AA+,3.77%,134.3,39.6,0.1%,27,敖东转债!,
44,天目转债,113564,2020-03-16,天目湖,603136,旅游餐饮,旅游,120.46,0.47%,0.91%,25.12,2.11%,7.5,2.1%,126.7,23.80,3.32,105.55,14.1%,2月26天,5.71年,3.71年,10.3%,10.9%,3.0,29,0.91%,0.13%,-3.61%,-3.82%,84.94,93.50,29.48,122.97,-2.0%,52%,15%,16%,0.65,AA-,5.59%,135.4,41.9,6.6%,13,天目转债,
4,交科转债,128107,2020-05-22,浙江交科,002061,建筑,建筑工程,109.6,-0.08%,-0.58%,5.24,-1.13%,37,1.3%,115.3,5.36,0.93,97.76,12.1%,4月17天,5.86年,3.86年,34.7%,33.9%,25,72,0.89%,0.41%,-1.35%,-1.53%,88.47,91.57,22.95,114.52,-4.3%,42%,12%,17%,0.58,AA+,4.09%,121.4,29.9,-1.6%,14,交科转债,
158,博彦转债,128057,2019-04-02,博彦科技,002649,计算机及,软件开发,112.463,-0.03%,-0.57%,8.51,-1.05%,2.6,0.4%,117.1,8.81,1.68,96.59,16.4%,转股中,4.73年,2.73年,12.0%,11.5%,5.4,45,0.88%,0.23%,-2.83%,-3.06%,89.44,92.33,21.16,113.49,-0.9%,44%,15%,16%,0.58,AA-,5.27%,128.3,36.0,0.4%,32,博彦转债,
60,唐人转债,128092,2020-01-22,唐人神,002567,农业,畜牧业,109.923,-0.18%,0.32%,8.5,0.24%,15,1.1%,115.3,8.86,2.01,95.94,14.6%,23天,5.55年,3.55年,17.4%,16.7%,12,71,0.88%,0.38%,-1.55%,-1.74%,88.02,90.33,21.87,112.20,-2.0%,54%,15%,16%,0.59,AA,4.59%,123.9,33.6,-5.3%,33,唐人转债,
100,北方转债,127014,2019-11-21,北方国际,000065,建筑,建筑工程,110.436,-0.06%,0.50%,7.38,1.10%,0.4,0.1%,115.6,8.75,1.17,84.34,30.9%,转股中,5.36年,3.36年,10.2%,8.6%,5.8,57,0.87%,0.35%,-1.68%,-1.90%,90.53,93.69,13.11,106.80,3.4%,47%,24%,17%,0.41,AA+,4.09%,136.5,42.8,-0.3%,18,北方转债,
107,金能转债,113545,2019-11-07,金能科技,603113,煤炭,炼焦,110.23,0.00%,-0.51%,10.68,-0.93%,6.4,0.4%,115.3,11.40,1.26,93.68,17.7%,转股中,5.34年,3.34年,20.8%,19.5%,15,72,0.86%,0.34%,-1.72%,-1.92%,88.86,91.19,20.40,111.59,-1.2%,42%,16%,17%,0.55,AA,4.59%,126.8,35.6,4.4%,25,金能转债,
132,亚泰转债!,128066,2019-05-14,郑中设计,002811,建筑,装饰工程,113.1,0.09%,0.71%,10.09,1.20%,6.9,1.3%,117.5,9.67,1.21,104.34,8.4%,转股中,4.84年,2.84年,17.6%,18.4%,4.8,27,0.81%,0.17%,-2.83%,-3.06%,89.11,92.11,27.14,119.26,-5.2%,49%,11%,16%,0.67,AA-,5.27%,121.9,29.7,-25.5%,65,亚泰转债!,
67,淮矿转债!,110065,2020-01-13,淮北矿业,600985,煤炭,煤炭开采,106.51,0.10%,0.00%,7.8,0.26%,14,0.5%,111,9.33,0.86,83.60,27.4%,16天,5.53年,3.53年,16.3%,13.6%,28,169,0.76%,0.39%,-0.78%,-0.96%,90.95,91.65,12.06,103.72,2.7%,42%,21%,16%,0.42,AAA,3.59%,129.4,37.8,-8.2%,25,淮矿转债!,
21,华体转债,113574,2020-04-27,华体科技,603679,城市公用,城市公用,111.5,0.10%,-0.39%,40.36,-0.49%,2.8,1.2%,116.4,47.72,5.78,84.58,31.8%,3月26天,5.80年,3.80年,5.1%,4.3%,2.1,41,0.76%,0.25%,-1.62%,-1.84%,79.37,78.16,24.95,103.11,8.1%,49%,27%,16%,0.60,A+,7.29%,138.4,59.0,-4.8%,9,华体转债,
174,福能转债!,110048,2018-12-28,福能股份,600483,能源电力,电力供应,110.5,0.43%,0.30%,7.49,1.63%,16,0.5%,113.9,8.23,0.95,91.01,21.4%,转股中,4.49年,2.49年,24.3%,22.2%,28,116,0.69%,0.13%,-2.50%,-2.74%,93.83,96.81,13.14,109.95,0.5%,29%,18%,16%,0.45,AA+,3.77%,130.0,33.2,2.1%,9,福能转债!,
251,国贸转债!,110033,2016-01-19,厦门国贸,600755,交通运输,交通运输,108.55,-0.14%,0.29%,6.29,1.13%,8.5,0.6%,109.7,7.42,0.84,84.77,28.1%,转股中,1.56年,回售中,10.4%,8.8%,12,116,0.68%,-0.47%,回售中,回售中,100.28,104.65,1.51,106.16,2.3%,33%,26%,15%,0.13,AAA,3.09%,132.3,27.7,1.1%,18,国贸转债!,
213,大族转债!,128035,2018-03-05,大族激光,002008,机械装备,专用设备,105.508,0.11%,-0.13%,31.65,-0.72%,3.1,0.1%,108,52.30,4.03,60.52,74.3%,转股中,3.65年,1.65年,6.8%,4.1%,23,338,0.65%,0.23%,-0.58%,-1.04%,97.63,94.51,3.70,98.21,7.4%,44%,40%,16%,0.02,AA+,3.77%,150.5,52.9,1.3%,20,大族转债!,
43,翔港转债,113566,2020-03-31,翔港科技,603499,造纸包装,包装材料,120.06,0.38%,-0.34%,18.52,0.05%,21,8.8%,124.5,15.16,4.92,122.16,-1.7%,2月26天,5.71年,3.71年,7.6%,9.3%,2.0,26,0.65%,-0.07%,-3.52%,-3.73%,79.95,84.07,52.42,136.48,-12.0%,62%,<2%,18%,0.83,A+,7.29%,118.0,33.9,5.2%,23,翔港转债,
83,新北转债!,128083,2019-12-31,新北洋,002376,电子,电子行业,111.5,0.06%,-0.94%,10.16,-1.84%,8.2,0.8%,115.2,11.70,1.98,86.84,28.4%,5.1天,5.50年,3.50年,13.0%,11.3%,8.8,68,0.61%,0.11%,-1.98%,-2.17%,88.12,90.44,16.53,106.96,4.2%,41%,22%,17%,0.48,AA,4.59%,136.2,45.7,-0.2%,18,新北转债!,
181,张行转债,128048,2018-11-29,张家港行,002839,金融,银行行业,111,0.09%,-0.17%,5.3,-0.19%,23,0.8%,113.9,5.91,0.90,89.68,23.8%,转股中,4.42年,无权,26.1%,23.4%,25,96,0.60%,0.02%,无权,无权,无权,97.05,13.73,110.78,0.2%,41%,19%,18%,0.43,AA+,3.77%,132.3,35.3,-0.9%,17,张行转债,
138,鼎胜转债!,113534,2019-04-30,鼎胜新材,603876,有色金属,小金属,111.8,-0.14%,-0.72%,14.42,-1.64%,7.7,0.6%,114.9,15.28,1.70,94.37,18.5%,转股中,4.82年,2.82年,19.2%,18.1%,12,63,0.58%,0.02%,-2.60%,-2.81%,91.36,94.28,17.54,111.81,-0.0%,53%,16%,16%,0.52,AA,4.27%,129.2,35.0,2.0%,37,鼎胜转债!,
172,光华转债!,128051,2019-01-09,光华科技,002741,电子,元器件制,112.72,-0.26%,-0.52%,12.08,-1.39%,10,3.7%,115.5,12.72,3.85,94.97,18.7%,转股中,4.50年,2.50年,5.5%,5.3%,2.5,45,0.55%,-0.06%,-3.06%,-3.32%,90.66,92.13,20.64,112.77,-0.0%,42%,18%,17%,0.56,AA-,5.27%,130.5,38.3,0.5%,25,光华转债!,
12,应急转债,123048,2020-05-11,中船应急,300527,机械装备,专用设备,109.87,0.11%,-0.38%,8.4,-0.47%,6.0,0.7%,113.1,8.90,3.63,94.38,16.4%,4月5天,5.82年,3.82年,10.7%,10.1%,8.2,77,0.51%,0.10%,-1.47%,-1.64%,88.39,89.92,21.40,111.32,-1.3%,61%,16%,17%,0.56,AA+,4.09%,125.4,35.4,-1.7%,10,应急转债,
50,星帅转债,128094,2020-02-19,星帅尔,002860,家电,零部件制,118.21,0.72%,-0.21%,16,0.63%,19,5.9%,121.5,13.95,2.11,114.70,3.1%,39天,5.59年,3.59年,8.8%,10.1%,2.8,32,0.50%,-0.16%,-3.24%,-3.46%,80.54,82.73,45.97,128.69,-8.1%,63%,<2%,17%,0.81,A+,7.29%,121.7,39.0,6.3%,32,星帅转债,
144,现代转债,110057,2019-04-30,现代制药,600420,医药,化学制药,108.3,-1.10%,0.80%,8.86,-0.67%,20,1.1%,110.8,9.99,1.22,88.69,22.1%,转股中,4.80年,2.80年,17.8%,15.8%,16,91,0.49%,0.07%,-1.59%,-1.80%,93.97,95.22,12.40,107.62,0.6%,30%,19%,16%,0.44,AAA,3.27%,127.9,32.7,-0.4%,23,现代转债,
81,金牌转债,113553,2020-01-07,金牌厨柜,603180,其他,家居用品,121.39,-0.74%,-0.31%,46.2,-1.60%,5.5,1.2%,124.6,44.14,2.68,104.67,16.0%,6.1天,5.50年,3.50年,8.9%,9.4%,3.9,44,0.49%,-0.26%,-4.15%,-4.34%,85.47,92.96,28.65,121.61,-0.2%,52%,16%,16%,0.65,AA-,5.59%,138.1,45.1,-23.6%,17,金牌转债,
119,好客转债,113542,2019-08-23,好莱客,603898,其他,家居用品,112.54,-0.08%,-0.54%,14.82,-1.20%,0.7,0.1%,115.3,16.27,1.94,91.09,23.6%,转股中,5年49天,3年49天,13.7%,12.5%,6.3,46,0.48%,-0.05%,-2.45%,-2.66%,89.67,92.03,17.98,110.00,2.3%,32%,20%,17%,0.51,AA,4.59%,134.0,42.0,-0.4%,23,好客转债,
8,聚飞转债,123050,2020-05-15,聚飞光电,300303,电子,LED行,120.82,-0.53%,-0.66%,5.65,-1.74%,6.5,0.8%,124.2,5.28,3.19,107.01,12.9%,4月9天,5.84年,3.84年,9.8%,10.4%,7.1,72,0.48%,-0.21%,-3.68%,-3.87%,83.94,90.99,32.80,123.79,-2.4%,44%,14%,17%,0.68,AA-,5.59%,134.6,43.6,0.9%,9,聚飞转债,
135,创维转债!,127013,2019-05-16,创维数字,000810,电子,电子行业,115.311,0.27%,-1.19%,10.92,-1.80%,6.9,0.6%,117.9,11.39,3.09,95.87,20.3%,转股中,4.84年,2.84年,8.4%,8.1%,9.8,116,0.47%,-0.18%,-3.59%,-3.80%,91.29,96.66,17.39,114.05,1.1%,51%,17%,16%,0.51,AA,4.27%,134.7,38.1,-2.3%,24,创维转债!,
